image_name,gt_description
cmc_10.png,"Next to a field of flowers, a little bear held a thin string tied to a dark cloud. As the bear pulled, the cloud began to rain, watering the parched land and wilted flowers. With the nourishment of the rain, the flowers bloomed anew, as if the bear had breathed new life into them."
cmc_100.png,"Lazy Garfield is nestled in his blanket with a plate of doughnuts in front of him. The doughnuts are on one side of the plate, just out of Garfield's reach. He withdraws his hand to think of a solution, then has a bright idea. He makes a fist and forcefully knocks on one side of the plate, causing both the doughnuts and the plate to fly into the air. In his plan, the thrown doughnuts will fall into his open mouth, so he eagerly opens wide to catch them. Unfortunately, the plate drops into his mouth before the doughnuts, and the doughnuts end up teetering on the edge of the plate."
cmc_12.png,"These images portray a high-tension action sequence. Two men engage in a physical altercation beside a building, with one man seemingly overpowering the other. Then a lone individual is pursued by a group. The pursuer becomes the aggressor, targeting the feet of the group with a sweeping motion, leading to their collective fall."
cmc_14.png,"The storyboard captures a sequence where a girl is preparing coffee. The girl first reaches out to grab a coffee jar. Then she twists the jar to open it and uses a spoon to scoop out some coffee. Finally, she cleans the jar, wiping it and then using water to rinse it out."
cmc_16.png,"The storyboard illustrates a casual, cheerful interaction involving pies and photography. A girl holds a pie, posing while a boy takes her photograph. The image captured by the boy, focusing on the girl with the pie. The roles reverse, with the boy now holding the pie, likely being photographed. The final scene shows both the girl and boy eating pies, enjoying the results of their photo session."
cmc_18.png,"The storyboard illustrates a leisurely summer scene:  A girl is crouched down, engaging with an object on the ground. She stands up, holding a fan in her hand, possibly ready to use it or move to a different location. Her expression is one of contentment as she looks off into the distance, likely enjoying the surroundings or the moment. She is shown holding a fan, suggesting it's a hot day and she's attempting to cool herself. She is also seen eating watermelon, a typical summer refreshment, enhancing the depiction of a relaxed, warm-weather setting."
cmc_2.png,"A little bear wearing red pants is sitting on the ground, trying to pull a carrot out of a hole, but he fails and sits on the ground, sighing in dismay. At this moment, two rabbits come over, and one of the rabbits pulls a carrot out of the hole and gives it to the little bear. The little bear looks very happy."
cmc_20.png,"The girl inadvertently hits a button with her foot, suggesting an accidental trigger of an event. A shot of the girl's feet as the action occurs, indicating the start of an unexpected sequence. The fountain is central to the scene, perhaps activated by the button the girl pressed. Items around the fountain begin to bloom or activate, possibly a visual metaphor or magical element in the story. The sequence culminates in two characters kissing, representing a romantic climax or key character moment."
cmc_22.png,"A man is walking down the street, followed by a dog with a cane in its mouth. Suddenly he came across a puddle and stopped, not knowing how to get over. At this time, the dog behind him rushed over, used the crutch in his mouth to support the ground and jumped up over the puddle. The man expressed great shock"
cmc_24.png,"A man was sitting under the scorching sun fishing, and due to the hot weather, he fantasized about having a cold drink. Suddenly, a hand reached out from the water and handed him a cold drink. The man was so frightened that he immediately ran away."
cmc_26.png,"A gray little dog, upon seeing a pair of human legs, gets extremely excited. It hugs the human's legs, joyfully rubbing against them. But as it continues, the dog suddenly realizes that what it thought were human legs are actually a flesh-colored little dog shaped like a human foot, leaving the gray dog completely dumbfounded."
cmc_28.png,"Today, the weather is very hot, and the old man wipes his sweat while walking and fanning himself with a hand fan. When he sees a bench, he sits down, feeling extremely warm. He waves the fan while imagining himself singing in a bathtub. Suddenly, a beautiful woman wearing a cheongsam passes by. The old man, absorbed in his fantasy of being in a bath, doesn't immediately realize he's actually sitting on a bench. Panicked at the thought of being seen naked, he hurriedly covers himself with the fan."
cmc_30.png,"One day, the old man returns home and immediately senses something is wrong. He hurriedly calls the police. After a while, two police officers arrive with an investigator. The old man guides the investigator through his house. Inside, his room is in complete disarray, with clothes scattered from the wardrobe, huge handprints covering the walls, floor, and wardrobe, and books strewn about. The investigator is left in utter shock at the sight."
cmc_32.png,"One day, the old man goes hiking with a lady. Initially full of energy, the old man takes the lady's hand, helping her climb. Gradually, his strength wanes, while the lady shows no sign of fatigue. Their roles reverse, with the lady leading and supporting the old man in his climb. Eventually, due to exhaustion, the old man falls onto a rock."
cmc_34.png,"A tall man holding a large watermelon approaches a bespectacled man, hoping to borrow a long knife to cut the watermelon. The man with glasses waves his hand and confidently declares that he doesn't need a knife, insisting that he can smash the watermelon open with his head. Taking the watermelon, he forcefully smashes it against his head. To his surprise, the watermelon remains intact while his head is the one that gets cracked. This startles the tall man, causing him to jump in fright."
cmc_36.png,"The old man is painting a portrait of his friend. Due to the lengthy process of portrait painting, his friend becomes drowsy and struggles to keep his eyes open. Eventually, the friend succumbs to sleep. Seeing this, the old man gets angry, grabs a suona (a Chinese horn), and blows it loudly near his friend's ear. Startled by the sudden loud noise, the friend wakes up immediately. From then on, still shaken, the friend sits wide-eyed in front of the old man, allowing him to focus and paint attentively."
cmc_38.png,"The old man is cutting wood in the forest. After felling a tree, he uses a wooden stick to roll the cut trunk into the river, planning to use it as a makeshift raft. Sitting on it, he uses the stick as a paddle. This method seems very convenient for transporting the large log to his destination. However, as he paddles along, the old man realizes that what he's sitting on isn't the log he chopped down, but a terrifying crocodile! Shocked by the discovery, he drops the stick from his hands."
