image_name,description
cmc_1.png,"A panda in a bear coat was on his way to give a gift to his friend Little Bear, but when he arrived, he found that his friend had grown into a tall bear. But his friend was still very happy when he saw the gift."
cmc_3.png,"A chick, in a hurry to find its friend the rooster, asked a bear for help. The bear gestured, seemingly indicating where the rooster might be. Together, they headed in the direction shown by the bear, only to come upon a fast-food restaurant serving a bucket of fried chicken. The chick was shocked."
cmc_5.png,"A little bear was frying an egg in the kitchen. Meanwhile, a little rabbit curled up in bed, looking very cold. The bear approached with the pan, gently covering the rabbit with the warm egg. The heat from the egg brought comfort and satisfaction to the rabbit, who showed a blissful smile."
cmc_7.png,"A little bear was enjoying a picnic alone, savoring donuts and drinks. A little mouse approached stealthily and took a donut. The bear, noticing, gave chase. But it quickly realized the mouse was not indulging itself but instead threw the donut into the water as a lifesaver for another drowning mouse, leaving the bear both embarrassed and touched."
cmc_9.png,"A little cat with a watering can rushed past a bear, heading straight for a sapling, which it began to water. On the tree, another cat looked eagerly towards a taller tree. They were helping the sapling grow so that the cat in the tree could reach a nest in the higher tree."
cmc_11.png,"These images portray a dancing sequence. A couple shares a tender embrace while dancing to a pianist's music in a social setting, with an attentive audience in the background. The scene captures the intimacy of their dance, the emotive piano performance, and the reaction of onlookers."
cmc_13.png,"The storyboard outlines a chase sequence in a forested area. A man observes two other men from a distance, indicating a sense of surveillance or stalking. The two men approach a vehicle, possibly with the intent to initiate a chase. A woman discovers the two men and signals to the observed man to run, indicating a warning of imminent danger. The two men are seen taking the vehicle, likely to chase after the man who was being observed. The sequence concludes with an urgent sense of pursuit as one man runs, presumably to escape the two men in the vehicle."
cmc_15.png,"The storyboard shows a sequence in a car involving a person and a chicken thigh. The person is seated in the car, holding a chicken thigh and he looks towards the open window, preparing to discard something. The motion of throwing is captured, as the chicken thigh bone is tossed out of the window. The individual appears to be watching the bone being thrown. The final image depicts the person turning back towards the front, likely after having disposed of the bone."
cmc_17.png,"The storyboard captures a sequence of a girl interacting with natural elements. The girl is running, perhaps towards or away from something. She comes to a standstill, possibly reaching her destination or stopping to observe something. She is caught by a gust of wind, causing her to shield her face with her hands. Sunlight streams through the clouds, suggesting a change in the weather or a moment of revelation. A close-up of the girl's face, perhaps showing her reaction to the sunlight or her environment. Water begins to pour from the cloud, indicating the onset of rain. The girl collects and drinks the falling water, suggesting resourcefulness or relief."
cmc_19.png,"The storyboard illustrates the introduction of a product at a restaurant. A staff member at a restaurant is shown with a new dish, suggesting a reveal or launch of a product. The staff member presents the dish at the counter to customers, indicative of service and promotion. The staff are shown observing and expressing interest in the dish, reflecting customer engagement. A close-up of a staff considering the dish, possibly contemplating its appeal. The dish is prominently displayed, focusing on its presentation and ingredients, which is typical in marketing a menu item."
cmc_21.png,"A bald man with glasses lifts a cute little black cat and places it on his head as if the cat is his new hairstyle, with the cat's tail and limbs cleverly integrated into the hairstyle."
cmc_23.png,"A child is walking on the road with an umbrella in his hand. Suddenly it started to rain. So the child opened his umbrella. Unexpectedly, he did not use the umbrella to cover the rain, but turned it upside down on the ground to catch the rain. Then he jumped into the puddle on the umbrella and played happily."
cmc_25.png,"A woman cries out from a house billowing with thick smoke, pleading for help from an old man. Bravely, the old man dashes into the fiery scene, emerging with a crying baby in his arms. The mother immediately takes her child, but the baby starts crying loudly in her arms, pointing towards the fire, seemingly wanting the old man to go back in. With no other choice, the old man heroically re-enters the fire. When he comes out again, he is holding a large pile of the child's toys. Seeing the toys, the baby finally calms down."
cmc_27.png,"As the old man walks through the night, his shadow accompanies him. As he nears a telephone pole, the difference in position between his shadow and the pole's shadow becomes significantly less than the actual distance between him and the pole. The old man's shadow collides with the pole's shadow first. The struck shadow appears to see stars from the impact. The old man looks back at his shadow and finds it holding its injured forehead, bending over in pain."
cmc_29.png,"An astronaut unfortunately becomes separated from the space station, and despite attempts by his team members to pull him back, it's to no avail. Due to gravity, he rapidly falls towards Earth. The high-speed friction with the atmosphere causes his back to gradually ignite, and eventually, his entire body is set ablaze. People on the ground, observing the streak of light across the sky, mistake it for a beautiful shooting star."
cmc_31.png,"In a winter of heavy snowfall, children build a tall snowman. A backpacker passes by, and a child, holding a top hat with a purple ribbon, approaches the traveler to share their plan. The little girl explains that they hope the backpacker can help place the hat on the snowman's head. This magical hat, she says, can bring the snowman to life to dance and sing with them. But they are too short to reach. The backpacker agrees and takes the hat towards the snowman. However, he accidentally slips on a puddle and the hat falls into a snow pile mixed with discarded branches. Due to the hat's magic, this small snow pile comes to life, standing up with a ferocious look, startling both the children and the backpacker."
cmc_33.png,"One day, a mother takes her son to the old man's barbershop for a haircut. The little boy is very unruly, constantly opposing the old man's attempts to cut his hair. When the old man tries to trim the left side, the boy dodges to the right. When the old man moves to the right side, the boy tilts his head to the left. This behavior infuriates the old man, leading him to pull the boy from the chair and spank him. After this discipline, the boy sits obediently in the chair, allowing the old man to cut his hair. When the mother returns, she is very satisfied with her son's new hairstyle."
cmc_35.png,"In preparation for spending a night in the wild, the old man sets up a hammock between two trees. He ties one end of the hammock to a tree trunk and secures the other end to a nearby tree. However, as soon as he finishes setting up the hammock, he discovers a large tiger has already taken occupancy, lounging on it. This sight startles him, causing sweat to bead on his forehead."
cmc_37.png,"The old man goes mountain climbing. He holds a climbing rope, one end of which is tied to a grappling hook. With a strong swing, he throws the rope towards the mountain peak, intending to use the hook as an anchor point. After securing the hook, the old man grasps the rope and climbs up the steep cliff. Upon reaching the top, he discovers that the hook hasn't latched onto the solid rock he imagined, but instead, it's hooked onto the mouth of a large fish."
